angle_deg	RPM300	RPM500	RPM700	RPM900
-8.4000000000e+01	2.2921076843e-06	5.7499010922e-06	2.2689374299e-06	4.9569813408e-06
-8.3500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-8.3000000000e+01	2.9300785529e-06	1.9319634085e-06	5.1482886128e-07	1.6145416548e-06
-8.2500000000e+01	3.6666790635e-06	2.7045580106e-06	7.8132648464e-07	3.7312013989e-06
-8.2000000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-8.1500000000e+01	3.3940614608e-06	2.3040221914e-06	5.5163709381e-06	5.9602486827e-06
-8.1000000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-8.0500000000e+01	1.1713571975e-06	6.8162771869e-07	4.3442386736e-06	1.1340988388e-06
-8.0000000000e+01	6.0675472553e-06	6.7882797520e-07	4.1630354214e-06	3.8625422502e-06
-7.9500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.9000000000e+01	4.3743373639e-06	3.4187140797e-06	5.0181116197e-07	2.8356276737e-06
-7.8500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.8000000000e+01	6.5192763573e-06	6.3600897873e-06	6.2992952709e-06	4.8558972665e-06
-7.7500000000e+01	1.4782106275e-06	3.6622220768e-06	5.8846051649e-06	2.9688361057e-06
-7.7000000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.6500000000e+01	6.0977889205e-06	2.2654450488e-06	2.3005343955e-06	5.1385239876e-06
-7.6000000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.5500000000e+01	6.3855689356e-07	8.7526728486e-07	4.4748124706e-06	4.3512289890e-06
-7.5000000000e+01	5.1952270116e-06	3.2215572236e-06	3.4991192031e-06	6.2764077579e-06
-7.4500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.4000000000e+01	6.8415825266e-06	5.9801682001e-06	6.5429814871e-06	1.7020601689e-06
-7.3500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.3000000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.2500000000e+01	6.2524021268e-06	4.5620012330e-06	2.4870302493e-06	6.1982197809e-06
-7.2000000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.1500000000e+01	5.5655770175e-06	5.7154128160e-06	3.9181560185e-06	2.0259269067e-06
-7.1000000000e+01	1.5869624729e-06	5.9365403054e-06	4.6043794147e-06	2.3417862919e-06
-7.0500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
-7.0000000000e+01	1.0553826633e-06	4.8256838204e-06	5.4123449502e-06	3.4064585188e-06
-6.9500000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
